Month,Passengers,Passengers_Stationary,Passengers_Stationary_2
1949-03,132,14,8
1949-04,129,-3,-17
1949-05,121,-8,-5
1949-06,135,14,22
1949-07,148,13,-1
1949-08,148,0,-13
1949-09,136,-12,-12
1949-10,119,-17,-5
1949-11,104,-15,2
1949-12,118,14,29
1950-01,115,-3,-17
1950-02,126,11,14
1950-03,141,15,4
1950-04,135,-6,-21
1950-05,125,-10,-4
1950-06,149,24,34
1950-07,170,21,-3
1950-08,170,0,-21
1950-09,158,-12,-12
1950-10,133,-25,-13
1950-11,114,-19,6
1950-12,140,26,45
1951-01,145,5,-21
1951-02,150,5,0
1951-03,178,28,23
1951-04,163,-15,-43
1951-05,172,9,24
1951-06,178,6,-3
1951-07,199,21,15
1951-08,199,0,-21
1951-09,184,-15,-15
1951-10,162,-22,-7
1951-11,146,-16,6
1951-12,166,20,36
1952-01,171,5,-15
1952-02,180,9,4
1952-03,193,13,4
1952-04,181,-12,-25
1952-05,183,2,14
1952-06,218,35,33
1952-07,230,12,-23
1952-08,242,12,0
1952-09,209,-33,-45
1952-10,191,-18,15
1952-11,172,-19,-1
1952-12,194,22,41
1953-01,196,2,-20
1953-02,196,0,-2
1953-03,236,40,40
1953-04,235,-1,-41
1953-05,229,-6,-5
1953-06,243,14,20
1953-07,264,21,7
1953-08,272,8,-13
1953-09,237,-35,-43
1953-10,211,-26,9
1953-11,180,-31,-5
1953-12,201,21,52
1954-01,204,3,-18
1954-02,188,-16,-19
1954-03,235,47,63
1954-04,227,-8,-55
1954-05,234,7,15
1954-06,264,30,23
1954-07,302,38,8
1954-08,293,-9,-47
1954-09,259,-34,-25
1954-10,229,-30,4
1954-11,203,-26,4
1954-12,229,26,52
1955-01,242,13,-13
1955-02,233,-9,-22
1955-03,267,34,43
1955-04,269,2,-32
1955-05,270,1,-1
1955-06,315,45,44
1955-07,364,49,4
1955-08,347,-17,-66
1955-09,312,-35,-18
1955-10,274,-38,-3
1955-11,237,-37,1
1955-12,278,41,78
1956-01,284,6,-35
1956-02,277,-7,-13
1956-03,317,40,47
1956-04,313,-4,-44
1956-05,318,5,9
1956-06,374,56,51
1956-07,413,39,-17
1956-08,405,-8,-47
1956-09,355,-50,-42
1956-10,306,-49,1
1956-11,271,-35,14
1956-12,306,35,70
1957-01,315,9,-26
1957-02,301,-14,-23
1957-03,356,55,69
1957-04,348,-8,-63
1957-05,355,7,15
1957-06,422,67,60
1957-07,465,43,-24
1957-08,467,2,-41
1957-09,404,-63,-65
1957-10,347,-57,6
1957-11,305,-42,15
1957-12,336,31,73
1958-01,340,4,-27
1958-02,318,-22,-26
1958-03,362,44,66
1958-04,348,-14,-58
1958-05,363,15,29
1958-06,435,72,57
1958-07,491,56,-16
1958-08,505,14,-42
1958-09,404,-101,-115
1958-10,359,-45,56
1958-11,310,-49,-4
1958-12,337,27,76
1959-01,360,23,-4
1959-02,342,-18,-41
1959-03,406,64,82
1959-04,396,-10,-74
1959-05,420,24,34
1959-06,472,52,28
1959-07,548,76,24
1959-08,559,11,-65
1959-09,463,-96,-107
1959-10,407,-56,40
1959-11,362,-45,11
1959-12,405,43,88
1960-01,417,12,-31
1960-02,391,-26,-38
1960-03,419,28,54
1960-04,461,42,14
1960-05,472,11,-31
1960-06,535,63,52
1960-07,622,87,24
1960-08,606,-16,-103
1960-09,508,-98,-82
1960-10,461,-47,51
1960-11,390,-71,-24
1960-12,432,42,113
